delivery_id,date,zone,distance_km,delivery_time_min,package_weight_kg,shipment_volume,transport_cost,first_attempt_success
D00142,2026-05-11,East Zone 1,8.98,23.3,3.97,8,83.47,True
D00143,2026-05-27,East Zone 1,10.81,28.6,1.21,6,91.3,True
D00144,2026-06-08,East Zone 1,6.35,17.3,4.72,9,81.67,True
D00145,2026-05-25,East Zone 1,7.01,17.0,5.62,7,69.27,True
D00146,2026-06-13,North Zone 1,7.24,13.7,1.19,5,73.83,True
D00147,2026-06-15,North Zone 2,7.49,16.5,0.82,6,73.64,True
D00148,2026-05-06,North Zone 2,5.48,9.4,2.7,6,69.85,False
D00149,2026-05-18,North Zone 2,9.4,30.3,5.77,12,94.71,True
D00150,2026-05-10,North Zone 1,4.22,11.7,2.66,6,68.75,True
D00151,2026-05-31,West Zone 1,13.35,52.3,3.62,7,107.48,True
D00152,2026-06-01,South Zone 2,14.67,50.7,13.75,8,114.7,True
D00153,2026-06-12,South Zone 1,3.2,4.0,1.44,5,51.39,True
D00154,2026-05-17,North Zone 2,9.83,23.0,5.41,8,103.07,True
D00155,2026-07-09,South Zone 2,10.46,33.2,1.25,5,84.34,True
D00156,2026-05-27,North Zone 1,6.59,8.6,1.36,6,62.93,True
D00157,2026-05-21,South Zone 2,12.43,36.1,2.89,11,87.38,True
D00158,2026-07-12,South Zone 2,15.23,57.1,1.56,10,97.45,True
D00159,2026-07-03,North Zone 1,6.69,14.7,1.25,6,66.84,True
D00160,2026-06-22,North Zone 1,2.52,9.2,4.77,3,68.64,True
D00161,2026-06-25,North Zone 2,10.69,20.9,6.78,8,94.27,True
D00162,2026-05-16,North Zone 2,8.46,12.8,2.29,3,76.97,True
D00163,2026-05-18,North Zone 2,13.72,36.0,0.39,8,80.1,True
D00164,2026-05-08,East Zone 1,11.01,21.3,7.34,4,90.49,True
D00165,2026-05-20,East Zone 1,6.91,20.0,2.22,6,71.45,True
D00166,2026-06-20,West Zone 1,13.28,47.9,13.07,6,97.7,True
D00167,2026-05-13,South Zone 2,14.5,52.9,0.72,2,93.2,True
D00168,2026-05-07,North Zone 2,11.62,36.4,8.8,3,92.21,True
D00169,2026-05-17,South Zone 1,8.76,17.4,5.31,11,85.46,True
D00170,2026-05-11,South Zone 1,7.8,11.8,1.53,4,70.59,True
D00171,2026-05-08,North Zone 1,4.25,8.2,3.11,11,54.25,True
D00172,2026-06-06,South Zone 1,2.1,4.0,2.88,10,54.78,True
D00173,2026-06-20,South Zone 2,9.75,34.9,0.59,10,77.85,True
D00174,2026-05-30,North Zone 1,4.56,8.3,10.6,9,84.64,True
D00175,2026-07-04,West Zone 1,15.43,49.9,5.63,7,107.75,True
D00176,2026-06-10,North Zone 1,6.22,19.1,2.0,5,64.31,True
D00177,2026-05-15,South Zone 1,8.31,15.3,3.38,9,88.55,True
D00178,2026-06-27,North Zone 2,8.91,20.9,3.05,7,83.59,True
D00179,2026-06-11,South Zone 2,17.53,60.9,0.27,4,104.48,True
D00180,2026-06-20,South Zone 2,15.8,47.8,6.26,5,103.32,True
D00181,2026-06-30,South Zone 1,6.39,5.5,2.81,4,81.85,True
D00182,2026-05-04,South Zone 1,4.07,11.3,2.12,8,65.53,True
D00183,2026-07-09,South Zone 2,13.02,44.3,5.81,4,100.12,True
D00184,2026-07-05,North Zone 2,7.92,12.8,4.44,12,67.47,True
D00185,2026-05-20,East Zone 1,9.6,31.6,3.83,8,84.65,True
D00186,2026-05-24,North Zone 2,9.21,30.2,4.2,10,78.76,True
D00187,2026-05-31,East Zone 1,8.51,23.9,1.51,7,63.82,True
D00188,2026-06-08,North Zone 2,11.33,28.5,9.71,8,98.46,True
D00189,2026-07-09,North Zone 1,5.86,12.8,7.23,4,80.75,True
D00190,2026-06-10,East Zone 1,7.78,17.0,1.42,7,73.43,True
D00191,2026-05-19,West Zone 1,13.95,61.6,4.07,8,94.57,True
D00192,2026-05-04,West Zone 1,12.36,53.1,8.59,6,102.73,True
D00193,2026-06-26,North Zone 2,11.49,25.6,0.78,5,76.98,True
D00194,2026-06-28,South Zone 1,8.5,17.8,4.78,5,87.92,True
D00195,2026-06-20,North Zone 1,7.0,4.0,4.18,7,75.89,True
D00196,2026-05-11,East Zone 1,8.44,25.1,0.56,11,70.6,True
D00197,2026-06-26,East Zone 1,14.15,35.1,1.58,5,90.29,False
D00198,2026-07-04,North Zone 2,6.37,16.8,2.42,7,65.57,True
D00199,2026-06-24,West Zone 1,16.22,72.9,1.84,9,103.57,True
D00200,2026-06-03,South Zone 1,2.47,10.8,1.9,5,52.88,True
D00201,2026-05-26,South Zone 1,4.73,6.0,2.17,6,62.48,True
D00202,2026-06-01,West Zone 1,11.55,43.6,3.62,3,85.05,True
D00203,2026-05-23,North Zone 1,4.95,6.9,3.35,5,68.66,True
D00204,2026-05-11,South Zone 1,5.02,8.1,10.71,8,83.68,True
D00205,2026-07-12,South Zone 1,5.19,7.9,7.04,8,82.86,True
D00206,2026-05-06,West Zone 1,11.95,61.6,3.18,7,81.4,True
D00207,2026-06-12,West Zone 1,14.16,53.4,0.48,3,77.72,True
D00208,2026-06-30,North Zone 1,3.92,11.1,4.19,9,67.61,False
D00209,2026-05-21,North Zone 2,7.4,18.4,1.9,7,68.89,True
D00210,2026-05-12,North Zone 2,11.86,37.3,1.1,8,78.8,False
D00211,2026-06-11,West Zone 1,14.56,55.4,1.93,8,101.41,True
D00212,2026-05-21,South Zone 1,0.58,6.7,2.4,4,50.39,True
D00213,2026-06-21,South Zone 1,6.06,12.9,7.36,7,78.3,True
D00214,2026-07-03,West Zone 1,10.83,39.0,4.18,6,93.34,True
D00215,2026-05-30,West Zone 1,12.54,44.2,4.22,10,90.05,True
D00216,2026-05-19,West Zone 1,14.55,72.3,5.28,8,108.57,True
D00217,2026-06-23,South Zone 2,8.13,30.3,2.28,6,75.83,True
D00218,2026-05-18,West Zone 1,12.42,54.8,4.41,6,91.67,True
D00219,2026-05-15,North Zone 1,7.84,9.5,1.6,8,67.96,True
D00220,2026-06-04,North Zone 1,5.7,8.9,2.22,5,73.21,True
D00221,2026-06-10,North Zone 2,8.81,26.1,1.17,5,90.14,False
D00222,2026-06-27,North Zone 1,6.01,12.1,4.59,8,62.14,True
D00223,2026-05-12,East Zone 1,6.83,13.7,3.96,9,69.29,True
D00224,2026-06-15,East Zone 1,11.32,24.1,1.34,3,83.9,True
D00225,2026-05-22,East Zone 1,4.77,6.7,3.98,6,62.47,True
D00226,2026-06-18,North Zone 2,9.46,29.7,4.95,8,80.46,True
D00227,2026-05-10,West Zone 1,17.16,71.2,4.92,4,110.32,True
D00228,2026-05-23,West Zone 1,16.09,55.6,10.35,7,113.53,True
D00229,2026-05-15,South Zone 2,11.87,38.3,4.98,8,97.81,True
D00230,2026-06-06,North Zone 2,4.6,14.4,3.81,4,69.96,False
D00231,2026-05-09,North Zone 1,3.55,4.0,2.49,8,66.99,True
D00232,2026-06-30,South Zone 2,14.91,56.3,7.08,4,102.15,True
D00233,2026-06-16,North Zone 1,7.76,14.6,6.71,9,78.36,True
D00234,2026-05-21,South Zone 1,6.54,5.6,2.3,7,63.16,True
D00235,2026-05-09,North Zone 1,6.65,13.2,4.75,10,70.94,True
D00236,2026-05-28,North Zone 2,8.16,23.6,1.23,5,71.44,True
D00237,2026-06-14,North Zone 1,5.18,9.9,2.45,4,63.6,True
D00238,2026-06-20,South Zone 2,10.61,36.4,1.76,7,85.44,False
D00239,2026-07-02,West Zone 1,15.11,62.6,2.32,12,96.47,True
D00240,2026-06-21,South Zone 1,7.16,11.1,1.89,5,76.76,True
D00241,2026-07-06,South Zone 1,5.16,6.2,2.7,5,64.9,True
D00242,2026-05-20,South Zone 2,7.93,29.5,5.72,7,81.06,True
D00243,2026-06-30,South Zone 1,2.99,4.4,0.2,5,41.36,True
D00244,2026-05-17,East Zone 1,9.21,15.7,3.41,7,76.98,True
D00245,2026-06-27,South Zone 2,9.59,27.0,3.95,3,85.35,True
D00246,2026-06-28,North Zone 1,2.13,4.0,1.26,11,60.38,True
D00247,2026-06-12,West Zone 1,15.77,63.6,4.78,2,90.9,True
D00248,2026-05-13,South Zone 1,4.1,4.0,3.51,4,63.75,True
D00249,2026-06-12,North Zone 1,13.04,26.3,4.42,13,94.94,True
D00250,2026-06-03,West Zone 1,16.77,76.3,2.36,2,93.41,True
D00251,2026-06-22,South Zone 2,13.8,53.2,1.59,8,104.42,True
D00252,2026-07-02,North Zone 2,12.55,39.5,0.72,10,92.32,True
D00253,2026-07-03,East Zone 1,10.7,25.3,4.07,5,95.22,True
D00254,2026-06-25,East Zone 1,10.7,24.8,5.12,11,84.69,True
D00255,2026-07-03,South Zone 2,11.68,36.9,2.61,5,85.19,True
D00256,2026-05-17,South Zone 2,15.92,53.8,0.95,9,102.84,True
D00257,2026-06-19,South Zone 1,5.88,8.3,4.49,7,78.1,True
D00258,2026-06-29,North Zone 2,8.37,22.5,4.51,4,78.87,True
D00259,2026-07-03,South Zone 1,6.79,5.6,4.77,4,75.05,True
D00260,2026-05-18,North Zone 2,9.85,28.2,4.99,6,79.36,True
D00261,2026-05-28,North Zone 1,4.63,9.9,8.16,4,71.09,True
D00262,2026-05-16,North Zone 1,8.42,25.1,0.88,4,78.25,True
D00263,2026-06-02,West Zone 1,12.09,53.1,2.27,6,86.18,True
D00264,2026-06-03,East Zone 1,5.79,19.7,3.17,16,68.7,True
D00265,2026-07-06,North Zone 2,5.31,20.5,2.42,7,64.94,True
D00266,2026-06-23,North Zone 1,6.01,14.6,4.48,6,73.13,True
D00267,2026-07-07,North Zone 1,7.42,10.2,0.91,5,73.74,True
D00268,2026-07-08,South Zone 2,9.37,37.6,1.08,6,84.64,True
D00269,2026-05-19,South Zone 1,4.59,4.6,1.06,5,60.52,True
D00270,2026-06-18,North Zone 1,5.3,13.5,5.37,3,76.26,False
D00271,2026-05-15,North Zone 1,6.7,12.9,5.47,5,77.99,True
D00272,2026-05-23,North Zone 1,7.75,25.6,2.46,5,64.71,True
D00273,2026-06-16,South Zone 2,13.58,63.6,2.47,6,97.45,True
D00274,2026-06-18,South Zone 2,11.5,35.2,4.47,7,92.53,True
D00275,2026-06-22,East Zone 1,6.9,10.9,4.54,8,69.59,True
D00276,2026-05-12,East Zone 1,4.96,11.9,3.44,6,66.05,True
D00277,2026-07-02,North Zone 1,8.1,17.5,2.58,8,77.15,True
D00278,2026-06-22,East Zone 1,7.39,22.0,1.78,9,76.96,True
D00279,2026-06-03,East Zone 1,5.19,10.0,1.71,8,75.77,True
D00280,2026-05-27,South Zone 1,4.77,20.2,6.11,6,64.35,True
D00281,2026-05-24,West Zone 1,14.99,53.6,5.54,6,106.3,True
D00282,2026-06-21,North Zone 1,4.77,5.0,1.0,5,59.15,True
D00283,2026-05-09,South Zone 2,15.09,41.3,3.48,6,93.21,True
D00284,2026-06-05,North Zone 1,2.58,12.1,1.95,4,47.05,True
D00285,2026-05-27,East Zone 1,5.38,10.2,0.77,5,61.7,True
D00286,2026-05-22,North Zone 2,9.99,26.0,2.58,6,77.08,True
D00287,2026-07-06,South Zone 1,5.88,14.5,4.47,8,76.07,True
D00288,2026-05-30,South Zone 2,15.27,36.9,3.19,7,95.05,True
D00289,2026-06-11,North Zone 2,6.93,24.9,8.13,8,83.12,True
D00290,2026-06-21,East Zone 1,6.33,15.5,4.21,3,71.29,True
D00291,2026-06-13,South Zone 1,2.99,4.0,1.19,8,62.77,True
D00292,2026-07-01,South Zone 2,8.87,35.6,6.22,9,88.69,True
D00293,2026-07-07,South Zone 2,11.72,51.3,6.51,11,86.86,True
D00294,2026-06-09,North Zone 1,7.49,15.2,3.77,5,75.55,True
D00295,2026-06-22,East Zone 1,7.63,17.3,2.07,4,69.89,True
D00296,2026-06-02,North Zone 1,8.16,22.6,5.1,6,75.36,True
D00297,2026-06-17,North Zone 1,0.5,4.0,2.94,13,46.99,True
D00298,2026-07-07,South Zone 1,6.89,22.4,3.49,7,76.72,True
D00299,2026-05-16,East Zone 1,12.63,24.1,5.76,6,99.06,True
D00300,2026-05-28,North Zone 2,11.82,37.5,1.82,6,92.16,True
D00301,2026-05-19,East Zone 1,5.56,18.8,1.72,6,67.71,True
D00302,2026-07-03,East Zone 1,7.47,16.8,2.44,6,82.04,True
D00303,2026-05-27,North Zone 2,7.29,20.8,4.36,2,68.17,True
D00304,2026-05-23,West Zone 1,10.64,36.2,4.18,12,88.58,True
D00305,2026-05-24,West Zone 1,17.01,66.7,0.85,7,105.9,False
D00306,2026-05-09,North Zone 2,12.19,25.7,4.12,8,91.49,True
D00307,2026-05-28,North Zone 2,8.14,23.3,4.17,3,86.84,True
D00308,2026-06-28,East Zone 1,12.3,26.2,9.53,5,113.2,True
D00309,2026-07-07,North Zone 2,11.91,40.2,1.42,3,87.01,True
D00310,2026-06-29,South Zone 2,12.08,38.0,1.29,7,83.38,True
D00311,2026-06-21,North Zone 2,7.02,22.7,0.56,8,65.62,True
D00312,2026-05-23,North Zone 1,8.89,15.6,1.01,5,73.85,True
D00313,2026-05-19,North Zone 2,12.52,29.1,5.85,8,90.4,True
D00314,2026-06-25,South Zone 1,6.13,9.7,1.9,4,64.47,True
D00315,2026-07-04,South Zone 1,5.65,16.7,4.28,5,70.61,True
D00316,2026-05-25,North Zone 2,7.64,17.5,18.82,4,100.69,True
D00317,2026-07-06,East Zone 1,9.42,15.1,10.68,5,91.55,True
D00318,2026-07-06,East Zone 1,2.9,11.3,3.13,7,53.03,True
D00319,2026-06-13,East Zone 1,5.43,8.0,6.02,5,69.64,True
D00320,2026-05-20,West Zone 1,15.12,69.2,2.99,10,110.44,True
D00321,2026-06-27,North Zone 2,7.27,20.2,2.44,7,65.69,True
D00322,2026-05-05,South Zone 1,3.84,4.0,1.02,7,58.78,True
D00323,2026-05-11,South Zone 2,11.66,43.0,1.74,7,76.93,True
D00324,2026-05-20,West Zone 1,15.82,73.9,0.88,6,108.65,False
D00325,2026-05-06,North Zone 2,11.05,29.4,1.41,6,83.01,True
D00326,2026-05-21,South Zone 1,3.08,4.4,0.93,9,52.82,True
D00327,2026-05-25,South Zone 2,11.97,39.8,14.34,5,112.2,True
D00328,2026-07-02,West Zone 1,15.9,67.6,3.92,8,113.48,True
D00329,2026-05-16,North Zone 2,6.58,17.0,0.9,9,72.15,True
D00330,2026-06-05,East Zone 1,9.51,18.8,2.91,8,85.4,True
D00331,2026-05-17,South Zone 1,4.66,7.9,6.8,5,73.88,True
D00332,2026-05-18,South Zone 2,11.98,42.5,1.49,8,69.85,True
D00333,2026-07-04,South Zone 1,2.95,8.3,1.87,7,61.68,True
D00334,2026-05-06,West Zone 1,13.43,64.1,3.65,5,93.93,True
D00335,2026-07-12,East Zone 1,4.64,11.7,4.6,10,70.92,True
D00336,2026-06-04,West Zone 1,9.73,38.6,6.04,8,94.1,True
D00337,2026-06-14,South Zone 1,5.11,8.2,4.99,6,82.28,True
D00338,2026-05-26,North Zone 1,4.62,17.8,16.53,4,100.58,True
D00339,2026-05-24,South Zone 1,6.97,8.7,1.31,6,63.4,True
D00340,2026-06-02,South Zone 1,8.8,14.5,6.16,8,86.81,True
D00341,2026-05-31,North Zone 2,8.79,20.0,3.52,5,94.59,True
D00342,2026-06-13,North Zone 2,10.99,33.6,1.69,4,84.85,True
D00343,2026-05-26,South Zone 2,14.0,50.3,1.23,5,84.31,True
D00344,2026-06-01,North Zone 1,4.52,14.1,4.15,5,73.4,True
D00345,2026-06-10,West Zone 1,12.78,51.9,4.08,9,89.72,True
D00346,2026-05-27,North Zone 2,8.1,26.8,3.75,7,79.63,True
D00347,2026-05-13,South Zone 1,4.27,17.3,3.32,5,64.02,True
D00348,2026-05-23,North Zone 2,9.63,26.0,1.06,8,82.85,True
D00349,2026-06-20,South Zone 2,12.45,48.0,4.17,9,90.3,True
D00350,2026-05-22,South Zone 2,13.79,38.5,0.97,10,94.34,True
D00351,2026-05-12,East Zone 1,9.83,25.7,7.23,9,95.33,True
D00352,2026-05-19,West Zone 1,18.94,84.4,2.07,8,112.83,True
D00353,2026-05-07,South Zone 1,3.32,11.7,2.04,9,49.6,True
D00354,2026-05-21,South Zone 2,9.46,37.9,4.49,4,88.54,True
D00355,2026-05-06,South Zone 2,10.16,39.7,2.57,10,86.12,True
D00356,2026-05-27,North Zone 2,9.22,25.6,2.55,4,71.88,True
D00357,2026-05-15,West Zone 1,16.34,61.3,4.87,5,103.98,True
D00358,2026-06-22,West Zone 1,13.57,60.0,5.0,9,97.84,True
D00359,2026-06-17,North Zone 2,14.27,50.1,5.8,2,96.44,False
D00360,2026-06-09,East Zone 1,5.28,18.8,3.6,7,59.89,True
D00361,2026-07-01,East Zone 1,8.81,29.6,6.87,8,79.83,True
D00362,2026-05-25,West Zone 1,13.34,51.3,2.93,6,92.5,True
D00363,2026-05-19,South Zone 2,17.16,66.6,0.31,4,97.54,True
D00364,2026-06-27,South Zone 2,10.98,27.8,2.55,12,74.44,True
