delivery_id,van_id,depot_id,zone_id,dispatch_time,delivered_time,promised_window_start,promised_window_end,distance_km,package_weight_kg,shipment_volume,transport_cost,first_attempt_success,delivery_outcome
D00028,VAN-25,DEPOT-A,North Zone 1,2026-07-02 12:09:00,2026-07-02 12:13:00.000000000,2026-07-02 09:00:00,2026-07-02 14:00:00,2.3,2.49,5,56.05,True,DELIVERED
D00029,VAN-55,DEPOT-B,South Zone 1,2026-05-10 16:11:00,2026-05-10 16:15:00.000000000,2026-05-10 09:00:00,2026-05-10 18:00:00,2.33,4.56,9,59.87,True,DELIVERED
D00030,VAN-09,DEPOT-A,North Zone 1,2026-05-12 18:08:00,2026-05-12 18:27:45.085336886,2026-05-12 09:00:00,2026-05-12 20:00:00,6.4,1.59,7,66.59,True,DELIVERED
D00031,VAN-03,DEPOT-A,North Zone 1,2026-06-13 11:33:00,2026-06-13 11:41:00.194230525,2026-06-13 09:00:00,2026-06-13 13:00:00,4.98,3.84,13,62.74,True,DELIVERED
D00032,VAN-15,DEPOT-B,North Zone 1,2026-05-09 17:50:00,2026-05-09 18:01:32.635146770,2026-05-09 09:00:00,2026-05-09 19:00:00,6.92,4.65,5,83.68,True,DELIVERED
D00033,VAN-29,DEPOT-A,East Zone 1,2026-05-12 13:21:00,2026-05-12 13:48:18.718212808,2026-05-12 09:00:00,2026-05-12 15:00:00,6.64,4.59,5,79.25,True,DELIVERED
D00034,VAN-29,DEPOT-B,East Zone 1,2026-05-15 12:50:00,2026-05-15 13:11:20.716499461,2026-05-15 09:00:00,2026-05-15 14:00:00,12.07,1.53,4,87.17,True,DELIVERED
D00035,VAN-25,DEPOT-C,West Zone 1,2026-05-14 10:10:00,2026-05-14 11:05:21.211283399,2026-05-14 09:00:00,2026-05-14 12:00:00,12.88,0.7,6,88.97,True,DELIVERED
D00036,VAN-38,DEPOT-B,East Zone 1,2026-06-26 14:03:00,2026-06-26 14:17:16.522938026,2026-06-26 09:00:00,2026-06-26 16:00:00,5.48,5.35,11,71.74,True,DELIVERED
D00037,VAN-32,DEPOT-B,South Zone 1,2026-05-16 07:20:00,2026-05-16 07:29:24.781934289,2026-05-16 09:00:00,2026-05-16 09:00:00,6.85,1.92,3,71.94,True,DELIVERED
D00038,VAN-39,DEPOT-B,East Zone 1,2026-07-11 16:37:00,2026-07-11 16:58:25.853437643,2026-07-11 09:00:00,2026-07-11 18:00:00,11.12,4.36,11,99.36,True,DELIVERED
D00039,VAN-23,DEPOT-A,North Zone 1,2026-05-12 10:02:00,2026-05-12 10:11:50.512189143,2026-05-12 09:00:00,2026-05-12 12:00:00,4.94,5.9,9,61.32,False,REDELIVERY_REQUIRED
D00040,VAN-32,DEPOT-A,West Zone 1,2026-06-20 16:42:00,2026-06-20 17:31:27.856559163,2026-06-20 09:00:00,2026-06-20 18:00:00,15.12,1.0,5,96.78,True,DELIVERED
D00041,VAN-26,DEPOT-C,East Zone 1,2026-06-01 15:53:00,2026-06-01 16:15:43.479423613,2026-06-01 09:00:00,2026-06-01 17:00:00,11.41,0.2,8,85.01,True,DELIVERED
D00042,VAN-19,DEPOT-B,South Zone 2,2026-07-12 14:17:00,2026-07-12 14:53:04.816591321,2026-07-12 09:00:00,2026-07-12 16:00:00,11.16,5.19,8,93.56,False,REDELIVERY_REQUIRED
D00043,VAN-11,DEPOT-A,West Zone 1,2026-06-17 17:20:00,2026-06-17 18:14:15.683078276,2026-06-17 09:00:00,2026-06-17 19:00:00,13.19,3.29,10,85.23,True,DELIVERED
D00044,VAN-47,DEPOT-B,South Zone 1,2026-07-04 07:16:00,2026-07-04 07:26:25.867257706,2026-07-04 09:00:00,2026-07-04 09:00:00,6.05,2.92,9,66.87,True,DELIVERED
D00045,VAN-47,DEPOT-A,West Zone 1,2026-06-03 08:02:00,2026-06-03 08:37:25.298950694,2026-06-03 09:00:00,2026-06-03 10:00:00,8.37,1.69,5,68.65,True,DELIVERED
D00046,VAN-02,DEPOT-A,West Zone 1,2026-06-21 12:12:00,2026-06-21 13:11:10.308136789,2026-06-21 09:00:00,2026-06-21 14:00:00,15.4,5.3,3,102.54,True,DELIVERED
D00047,VAN-12,DEPOT-A,South Zone 1,2026-06-03 13:46:00,2026-06-03 13:50:22.622163642,2026-06-03 09:00:00,2026-06-03 15:00:00,2.44,7.18,6,59.02,True,DELIVERED
D00048,VAN-28,DEPOT-A,South Zone 2,2026-05-07 10:08:00,2026-05-07 10:53:04.848061003,2026-05-07 09:00:00,2026-05-07 12:00:00,12.7,5.77,7,101.6,True,DELIVERED
D00049,VAN-45,DEPOT-B,West Zone 1,2026-06-27 18:51:00,2026-06-27 19:38:42.235854728,2026-06-27 09:00:00,2026-06-27 20:00:00,14.03,1.34,9,96.12,False,REDELIVERY_REQUIRED
D00050,VAN-16,DEPOT-A,South Zone 1,2026-05-05 15:09:00,2026-05-05 15:19:12.193755727,2026-05-05 09:00:00,2026-05-05 17:00:00,1.8,10.09,6,69.28,True,DELIVERED
D00051,VAN-12,DEPOT-A,West Zone 1,2026-05-05 13:59:00,2026-05-05 15:13:29.460588090,2026-05-05 09:00:00,2026-05-05 15:00:00,16.24,4.02,6,106.53,True,DELIVERED
D00052,VAN-26,DEPOT-B,North Zone 1,2026-06-14 08:13:00,2026-06-14 08:30:44.348759295,2026-06-14 09:00:00,2026-06-14 10:00:00,8.56,1.59,9,71.81,True,DELIVERED
D00053,VAN-25,DEPOT-B,West Zone 1,2026-05-10 16:53:00,2026-05-10 17:44:40.031876515,2026-05-10 09:00:00,2026-05-10 18:00:00,13.0,4.09,7,94.12,True,DELIVERED
D00054,VAN-49,DEPOT-C,North Zone 1,2026-06-24 14:43:00,2026-06-24 15:06:16.015088598,2026-06-24 09:00:00,2026-06-24 16:00:00,6.99,1.19,6,80.93,True,DELIVERED
D00055,VAN-03,DEPOT-B,West Zone 1,2026-07-05 14:23:00,2026-07-05 15:33:53.430362918,2026-07-05 09:00:00,2026-07-05 16:00:00,14.91,6.05,7,105.63,True,DELIVERED
D00056,VAN-06,DEPOT-C,North Zone 1,2026-07-09 15:14:00,2026-07-09 15:19:00.329919240,2026-07-09 09:00:00,2026-07-09 17:00:00,2.39,3.55,5,60.73,True,DELIVERED
D00057,VAN-49,DEPOT-C,North Zone 2,2026-06-18 15:29:00,2026-06-18 15:40:37.436248494,2026-06-18 09:00:00,2026-06-18 17:00:00,4.1,2.79,8,60.57,True,DELIVERED
D00058,VAN-14,DEPOT-C,East Zone 1,2026-06-16 11:32:00,2026-06-16 11:50:40.877564056,2026-06-16 09:00:00,2026-06-16 13:00:00,6.98,2.59,8,68.26,True,DELIVERED
D00059,VAN-05,DEPOT-C,East Zone 1,2026-05-11 11:15:00,2026-05-11 11:24:30.477614983,2026-05-11 09:00:00,2026-05-11 13:00:00,5.31,4.47,8,68.12,True,DELIVERED
D00060,VAN-10,DEPOT-A,North Zone 1,2026-06-27 10:31:00,2026-06-27 10:49:57.699176591,2026-06-27 09:00:00,2026-06-27 12:00:00,10.71,4.52,6,90.93,True,DELIVERED
D00061,VAN-34,DEPOT-A,West Zone 1,2026-05-06 11:07:00,2026-05-06 12:17:46.063914067,2026-05-06 09:00:00,2026-05-06 13:00:00,14.53,4.77,8,102.94,True,DELIVERED
D00062,VAN-53,DEPOT-A,West Zone 1,2026-05-27 07:47:00,2026-05-27 09:17:42.623380276,2026-05-27 09:00:00,2026-05-27 09:00:00,19.61,4.5,4,107.66,True,DELIVERED
D00063,VAN-36,DEPOT-A,South Zone 1,2026-06-05 16:07:00,2026-06-05 16:13:05.956314764,2026-06-05 09:00:00,2026-06-05 18:00:00,4.29,3.94,9,70.25,True,DELIVERED
D00064,VAN-16,DEPOT-A,West Zone 1,2026-06-04 10:53:00,2026-06-04 11:46:07.798568366,2026-06-04 09:00:00,2026-06-04 12:00:00,13.24,6.12,10,95.92,True,DELIVERED
D00065,VAN-17,DEPOT-C,East Zone 1,2026-05-10 10:40:00,2026-05-10 10:58:58.528873318,2026-05-10 09:00:00,2026-05-10 12:00:00,7.06,4.41,7,73.52,True,DELIVERED
D00066,VAN-58,DEPOT-B,West Zone 1,2026-07-06 15:12:00,2026-07-06 16:06:50.373441646,2026-07-06 09:00:00,2026-07-06 17:00:00,15.54,2.48,7,96.02,True,DELIVERED
D00067,VAN-19,DEPOT-A,South Zone 1,2026-06-04 09:56:00,2026-06-04 10:03:53.898233514,2026-06-04 09:00:00,2026-06-04 11:00:00,6.69,6.53,13,79.08,True,DELIVERED
D00068,VAN-42,DEPOT-C,South Zone 1,2026-06-14 11:24:00,2026-06-14 11:36:21.405387602,2026-06-14 09:00:00,2026-06-14 13:00:00,8.64,7.19,3,94.25,True,DELIVERED
D00069,VAN-28,DEPOT-A,South Zone 2,2026-05-12 08:23:00,2026-05-12 08:50:18.520250943,2026-05-12 09:00:00,2026-05-12 10:00:00,8.02,3.95,7,78.44,True,DELIVERED
D00070,VAN-46,DEPOT-B,East Zone 1,2026-07-01 13:10:00,2026-07-01 13:27:11.510824823,2026-07-01 09:00:00,2026-07-01 15:00:00,7.31,3.36,10,78.02,True,DELIVERED
D00071,VAN-31,DEPOT-A,North Zone 2,2026-06-28 15:49:00,2026-06-28 16:12:55.980270881,2026-06-28 09:00:00,2026-06-28 17:00:00,7.01,6.01,7,80.37,False,REDELIVERY_REQUIRED
D00072,VAN-36,DEPOT-A,North Zone 2,2026-05-04 08:26:00,2026-05-04 08:48:41.540551641,2026-05-04 09:00:00,2026-05-04 10:00:00,8.41,2.68,7,75.75,True,DELIVERED
D00073,VAN-03,DEPOT-C,North Zone 2,2026-06-25 09:30:00,2026-06-25 10:02:30.259106299,2026-06-25 09:00:00,2026-06-25 11:00:00,9.01,0.22,4,71.91,True,DELIVERED
D00074,VAN-28,DEPOT-A,North Zone 1,2026-05-31 15:59:00,2026-05-31 16:10:28.303230192,2026-05-31 09:00:00,2026-05-31 17:00:00,6.68,5.48,10,90.99,True,DELIVERED
D00075,VAN-36,DEPOT-C,South Zone 2,2026-05-07 18:36:00,2026-05-07 19:00:50.678022185,2026-05-07 09:00:00,2026-05-07 20:00:00,7.23,1.36,9,70.53,True,DELIVERED
D00076,VAN-54,DEPOT-A,East Zone 1,2026-06-18 16:10:00,2026-06-18 16:34:32.101084350,2026-06-18 09:00:00,2026-06-18 18:00:00,7.65,6.67,4,75.92,True,DELIVERED
D00077,VAN-49,DEPOT-C,South Zone 1,2026-05-18 08:25:00,2026-05-18 08:34:57.768801421,2026-05-18 09:00:00,2026-05-18 10:00:00,6.05,1.92,4,73.14,True,DELIVERED
D00078,VAN-55,DEPOT-C,North Zone 1,2026-07-08 15:05:00,2026-07-08 15:09:00.000000000,2026-07-08 09:00:00,2026-07-08 17:00:00,2.55,0.25,8,50.16,True,DELIVERED
D00079,VAN-35,DEPOT-B,West Zone 1,2026-05-15 16:58:00,2026-05-15 17:38:11.451419552,2026-05-15 09:00:00,2026-05-15 18:00:00,11.04,4.25,4,95.64,True,DELIVERED
D00080,VAN-19,DEPOT-A,East Zone 1,2026-06-01 12:25:00,2026-06-01 12:42:36.550849095,2026-06-01 09:00:00,2026-06-01 14:00:00,8.17,0.51,8,71.82,True,DELIVERED
D00081,VAN-55,DEPOT-B,South Zone 2,2026-06-23 18:23:00,2026-06-23 19:15:13.752254340,2026-06-23 09:00:00,,13.99,3.21,10,91.94,True,DELIVERED
D00082,VAN-13,DEPOT-B,North Zone 1,2026-05-05 11:44:00,2026-05-05 11:48:00.000000000,2026-05-05 09:00:00,2026-05-05 13:00:00,0.57,5.84,7,54.98,True,DELIVERED
D00083,VAN-08,DEPOT-A,North Zone 2,2026-07-10 07:57:00,2026-07-10 08:10:30.723860580,2026-07-10 09:00:00,2026-07-10 09:00:00,7.35,1.41,8,54.38,True,DELIVERED
D00084,VAN-56,DEPOT-A,West Zone 1,2026-06-28 09:50:00,2026-06-28 10:50:48.731050159,2026-06-28 09:00:00,2026-06-28 11:00:00,15.01,10.68,8,118.06,True,DELIVERED
D00085,VAN-29,DEPOT-C,South Zone 1,2026-05-13 13:11:00,2026-05-13 13:15:00.000000000,2026-05-13 09:00:00,2026-05-13 15:00:00,0.5,6.15,9,54.51,True,DELIVERED
D00086,VAN-53,DEPOT-B,South Zone 2,2026-05-06 09:42:00,2026-05-06 10:37:14.374974300,2026-05-06 09:00:00,2026-05-06 11:00:00,14.29,2.72,5,93.37,True,DELIVERED
D00087,VAN-24,DEPOT-B,East Zone 1,2026-05-31 16:26:00,2026-05-31 16:42:18.440310470,2026-05-31 09:00:00,2026-05-31 18:00:00,10.29,6.09,10,91.08,True,DELIVERED
D00088,VAN-12,DEPOT-C,West Zone 1,2026-07-05 09:58:00,2026-07-05 10:53:05.940961701,2026-07-05 09:00:00,2026-07-05 11:00:00,17.07,2.58,4,106.27,True,DELIVERED
D00089,VAN-09,DEPOT-B,West Zone 1,2026-06-15 08:02:00,2026-06-15 08:56:13.187422219,2026-06-15 09:00:00,2026-06-15 10:00:00,15.16,10.82,6,110.03,True,DELIVERED
D00090,VAN-08,DEPOT-B,South Zone 1,2026-07-06 10:32:00,2026-07-06 10:42:35.192177362,2026-07-06 09:00:00,2026-07-06 12:00:00,4.98,2.36,7,65.35,True,DELIVERED
D00091,VAN-02,DEPOT-B,South Zone 1,2026-05-16 14:19:00,2026-05-16 14:23:21.482459093,2026-05-16 09:00:00,2026-05-16 16:00:00,5.45,5.95,5,63.34,True,DELIVERED
D00092,VAN-44,DEPOT-A,West Zone 1,2026-06-03 10:59:00,2026-06-03 11:53:49.817514419,2026-06-03 09:00:00,2026-06-03 12:00:00,10.88,1.89,6,81.39,True,DELIVERED
D00093,VAN-21,DEPOT-A,East Zone 1,2026-06-30 15:38:00,2026-06-30 16:02:28.975720226,2026-06-30 09:00:00,2026-06-30 17:00:00,7.01,3.05,11,64.36,True,DELIVERED
D00094,VAN-48,DEPOT-B,South Zone 1,2026-05-17 11:37:00,2026-05-17 11:41:00.000000000,2026-05-17 09:00:00,2026-05-17 13:00:00,0.5,2.93,8,47.02,True,DELIVERED
D00095,VAN-14,DEPOT-B,East Zone 1,2026-05-14 11:16:00,2026-05-14 11:31:27.417974854,2026-05-14 09:00:00,2026-05-14 13:00:00,6.46,1.97,8,77.17,True,DELIVERED
D00096,VAN-27,DEPOT-C,South Zone 1,2026-05-31 15:14:00,2026-05-31 15:30:01.507582937,2026-05-31 09:00:00,2026-05-31 17:00:00,4.89,3.69,9,59.68,True,DELIVERED
D00097,VAN-47,DEPOT-C,East Zone 1,2026-07-06 13:47:00,2026-07-06 14:17:00.534135278,2026-07-06 09:00:00,2026-07-06 15:00:00,10.7,2.91,7,88.97,True,DELIVERED
D00098,VAN-46,DEPOT-B,East Zone 1,2026-07-04 08:53:00,2026-07-04 09:14:19.811211431,2026-07-04 09:00:00,2026-07-04 10:00:00,10.1,3.07,6,78.5,True,DELIVERED
D00099,VAN-42,DEPOT-A,North Zone 1,2026-07-01 07:40:00,2026-07-01 07:53:15.675924570,2026-07-01 09:00:00,2026-07-01 09:00:00,4.18,5.89,8,73.35,True,DELIVERED
D00100,VAN-09,DEPOT-B,East Zone 1,2026-06-27 14:46:00,2026-06-27 14:56:15.904847149,2026-06-27 09:00:00,2026-06-27 16:00:00,7.97,1.02,5,75.64,True,DELIVERED
D00101,VAN-11,DEPOT-A,South Zone 1,2026-06-25 08:22:00,2026-06-25 08:30:56.330487099,2026-06-25 09:00:00,2026-06-25 10:00:00,7.36,2.29,11,80.25,True,DELIVERED
D00102,VAN-16,DEPOT-A,South Zone 1,2026-06-05 09:17:00,2026-06-05 09:24:28.170060838,2026-06-05 09:00:00,2026-06-05 11:00:00,5.49,2.44,6,56.29,True,DELIVERED
D00103,VAN-08,DEPOT-C,North Zone 1,2026-05-15 16:38:00,2026-05-15 16:57:43.060097276,2026-05-15 09:00:00,2026-05-15 18:00:00,7.9,3.86,6,78.11,True,DELIVERED
D00104,VAN-50,DEPOT-C,North Zone 1,2026-07-08 08:43:00,2026-07-08 09:03:34.341529679,2026-07-08 09:00:00,2026-07-08 10:00:00,8.43,2.83,7,84.11,True,DELIVERED
D00105,VAN-31,DEPOT-C,West Zone 1,2026-07-06 16:14:00,2026-07-06 17:14:54.973024898,2026-07-06 09:00:00,2026-07-06 18:00:00,15.34,2.76,11,99.07,True,DELIVERED
D00106,VAN-37,DEPOT-B,South Zone 2,2026-05-30 14:58:00,2026-05-30 15:36:00.996847541,2026-05-30 09:00:00,2026-05-30 16:00:00,12.34,2.78,5,83.33,True,DELIVERED
D00107,VAN-48,DEPOT-A,South Zone 1,2026-05-07 12:20:00,2026-05-07 12:27:23.325200139,2026-05-07 09:00:00,2026-05-07 14:00:00,3.65,2.98,7,64.52,True,DELIVERED
D00108,VAN-11,DEPOT-C,East Zone 1,2026-05-20 11:01:00,2026-05-20 11:12:54.125247540,2026-05-20 09:00:00,2026-05-20 13:00:00,5.18,3.71,9,67.58,True,DELIVERED
D00109,VAN-06,DEPOT-C,East Zone 1,2026-07-07 16:19:00,2026-07-07 16:38:54.451240687,2026-07-07 09:00:00,2026-07-07 18:00:00,9.52,6.83,4,82.11,True,DELIVERED
D00110,VAN-42,DEPOT-A,North Zone 1,2026-06-17 11:52:00,2026-06-17 12:05:33.935064257,2026-06-17 09:00:00,2026-06-17 13:00:00,5.92,0.82,6,74.3,True,DELIVERED
D00111,VAN-34,DEPOT-C,West Zone 1,2026-06-21 14:51:00,2026-06-21 15:41:14.365549364,2026-06-21 09:00:00,2026-06-21 16:00:00,12.56,2.22,10,82.12,True,DELIVERED
D00112,VAN-08,DEPOT-A,South Zone 2,2026-05-09 16:26:00,2026-05-09 16:55:17.952968962,2026-05-09 09:00:00,2026-05-09 18:00:00,11.64,6.01,11,86.34,True,DELIVERED
D00113,VAN-22,DEPOT-C,South Zone 1,2026-06-09 15:28:00,2026-06-09 15:35:39.464992578,2026-06-09 09:00:00,2026-06-09 17:00:00,2.54,7.55,4,66.67,True,DELIVERED
D00114,VAN-41,DEPOT-A,South Zone 2,2026-06-24 15:01:00,2026-06-24 15:43:58.446289942,2026-06-24 09:00:00,2026-06-24 17:00:00,11.18,2.08,12,86.17,True,DELIVERED
D00115,VAN-05,DEPOT-B,South Zone 2,2026-06-13 16:59:00,2026-06-13 17:43:00.302879231,2026-06-13 09:00:00,2026-06-13 18:00:00,14.33,2.7,11,89.02,True,DELIVERED
D00116,VAN-11,DEPOT-A,North Zone 2,2026-06-08 13:38:00,2026-06-08 14:07:10.970549938,2026-06-08 09:00:00,2026-06-08 15:00:00,8.35,1.51,5,74.64,True,DELIVERED
D00117,VAN-41,DEPOT-B,West Zone 1,2026-05-26 08:10:00,2026-05-26 09:15:38.909070195,2026-05-26 09:00:00,2026-05-26 10:00:00,14.58,5.39,4,92.97,True,DELIVERED
D00118,VAN-47,DEPOT-B,South Zone 1,2026-05-09 12:48:00,2026-05-09 12:57:01.867400854,2026-05-09 09:00:00,2026-05-09 14:00:00,5.72,2.82,8,72.78,True,DELIVERED
D00119,VAN-35,DEPOT-B,East Zone 1,2026-05-19 15:02:00,2026-05-19 15:30:50.885780042,2026-05-19 09:00:00,2026-05-19 17:00:00,11.56,3.6,9,86.86,True,DELIVERED
D00120,VAN-12,DEPOT-C,North Zone 1,2026-06-01 07:10:00,2026-06-01 07:14:52.558921653,2026-06-01 09:00:00,2026-06-01 09:00:00,3.31,6.94,4,68.96,True,DELIVERED
D00121,VAN-32,DEPOT-B,North Zone 2,2026-07-10 09:33:00,2026-07-10 09:46:57.820809140,2026-07-10 09:00:00,2026-07-10 11:00:00,10.38,7.45,5,97.78,True,DELIVERED
D00122,VAN-08,DEPOT-A,East Zone 1,2026-06-08 13:18:00,2026-06-08 13:29:21.121900428,2026-06-08 09:00:00,2026-06-08 15:00:00,6.54,6.11,9,72.12,True,DELIVERED
D00123,VAN-20,DEPOT-C,North Zone 1,2026-06-21 14:59:00,2026-06-21 15:03:00.000000000,2026-06-21 09:00:00,2026-06-21 16:00:00,5.05,1.74,5,60.38,True,DELIVERED
D00124,VAN-13,DEPOT-B,North Zone 1,2026-06-04 16:57:00,2026-06-04 17:06:13.111085510,2026-06-04 09:00:00,2026-06-04 18:00:00,5.28,3.78,4,70.14,True,DELIVERED
D00125,VAN-20,DEPOT-B,East Zone 1,2026-06-02 13:31:00,2026-06-02 13:50:37.237136463,2026-06-02 09:00:00,2026-06-02 15:00:00,7.23,9.91,3,95.44,True,DELIVERED
D00126,VAN-55,DEPOT-A,East Zone 1,2026-06-29 07:22:00,2026-06-29 07:36:13.671975793,2026-06-29 09:00:00,2026-06-29 09:00:00,7.37,2.64,6,79.13,True,DELIVERED
D00127,VAN-31,DEPOT-A,East Zone 1,2026-06-28 13:37:00,2026-06-28 14:00:55.587214387,2026-06-28 09:00:00,2026-06-28 15:00:00,6.67,2.3,5,63.82,True,DELIVERED
D00128,VAN-10,DEPOT-B,North Zone 1,2026-06-06 08:58:00,2026-06-06 09:11:59.317825134,2026-06-06 09:00:00,2026-06-06 10:00:00,7.65,9.36,7,85.89,True,DELIVERED
D00129,VAN-31,DEPOT-C,North Zone 1,2026-05-23 11:51:00,2026-05-23 12:01:02.255293030,2026-05-23 09:00:00,2026-05-23 13:00:00,6.51,7.98,4,77.43,True,DELIVERED
D00130,VAN-58,DEPOT-A,South Zone 1,2026-05-22 13:21:00,2026-05-22 13:38:46.307380722,2026-05-22 09:00:00,2026-05-22 15:00:00,6.65,1.73,6,62.04,True,DELIVERED
D00131,VAN-05,DEPOT-C,East Zone 1,2026-06-25 11:07:00,2026-06-25 11:27:47.626899577,2026-06-25 09:00:00,2026-06-25 13:00:00,9.46,0.5,7,81.96,False,REDELIVERY_REQUIRED
